Serial Number,Error Type,Ungrammatical_Statement,Standard_English
1824,Relative Clause Errors,People live in the city are usually busy.,People who live in the city are usually busy.
1825,Relative Clause Errors,The table I bought it last week is damaged.,The table that I bought last week is damaged.
1826,Relative Clause Errors,She's the teacher teaches math at our school.,She's the teacher who teaches math at our school.
1827,Relative Clause Errors,The store which sells electronics is closing down.,The store that sells electronics is closing down.
1828,Relative Clause Errors,I have a friend is a doctor.,I have a friend who is a doctor.
1829,Relative Clause Errors,The movie we watched yesterday was boring.,The movie that we watched yesterday was boring.
1830,Relative Clause Errors,The artist paintings are in the gallery is very talented.,The artist whose paintings are in the gallery is very talented.
1831,Relative Clause Errors,The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
1832,Relative Clause Errors,The conference people were discussing climate change ended yesterday.,The conference where people were discussing climate change ended yesterday.
1833,Relative Clause Errors,The hotel I stayed in it had great service.,The hotel where I stayed had great service.
1834,Relative Clause Errors,The phone which I found on the street belongs to Sarah.,The phone that I found on the street belongs to Sarah.
1835,Relative Clause Errors,The dress she wore it to the party was stunning.,The dress that she wore to the party was stunning.
1836,Relative Clause Errors,The restaurant we ate dinner is famous for its seafood.,The restaurant where we ate dinner is famous for its seafood.
1838,Relative Clause Errors,The book I'm reading it is about mindfulness.,The book that I'm reading is about mindfulness.
1839,Relative Clause Errors,The building the construction site is very tall.,The building at the construction site is very tall.
1840,Relative Clause Errors,The person I talked to him on the phone was very helpful.,The person to whom I talked on the phone was very helpful.
1841,Relative Clause Errors,The computer I'm using it for work needs an upgrade.,The computer that I'm using for work needs an upgrade.
1842,Relative Clause Errors,The museum exhibits ancient artifacts is in London.,The museum that exhibits ancient artifacts is in London.
1843,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
1844,Relative Clause Errors,The company I work for it has a great benefits package.,The company for which I work has a great benefits package.
1845,Relative Clause Errors,The actor won an award is known for his versatility.,The actor who won an award is known for his versatility.
1846,Relative Clause Errors,The shoes she bought them last month are already worn out.,The shoes that she bought last month are already worn out.
1847,Relative Clause Errors,The bike which I ride to work is green.,The bike that I ride to work is green.
1848,Relative Clause Errors,The cafe I had breakfast was cozy.,The cafe where I had breakfast was cozy.
1849,Relative Clause Errors,The team I support it is from my hometown.,The team that I support is from my hometown.
1850,Relative Clause Errors,The flowers I planted them last spring have bloomed.,The flowers that I planted last spring have bloomed.
1851,Relative Clause Errors,The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
1852,Relative Clause Errors,The meeting will be held at the office has a large conference room.,The meeting will be held at the office that has a large conference room.
1854,Relative Clause Errors,The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
1855,Relative Clause Errors,The store I bought the shirt is having a sale.,The store where I bought the shirt is having a sale.
1856,Relative Clause Errors,The recipe I tried it last night was delicious.,The recipe that I tried last night was delicious.
1857,Relative Clause Errors,The park people play soccer is near my house.,The park where people play soccer is near my house.
1858,Relative Clause Errors,The mechanic fixed my car is very skilled.,The mechanic who fixed my car is very skilled.
1859,Relative Clause Errors,The magazine I subscribed to it is about photography.,The magazine that I subscribed to is about photography.
1860,Relative Clause Errors,The city I visited last summer has beautiful architecture.,The city that I visited last summer has beautiful architecture.
1861,Relative Clause Errors,The shirt I spilled coffee on it is ruined.,The shirt on which I spilled coffee is ruined.
1862,Relative Clause Errors,The concert we went to it last night was amazing.,The concert that we went to last night was amazing.
1863,Relative Clause Errors,The college my sister attends it has a beautiful campus.,The college that my sister attends has a beautiful campus.
1864,Relative Clause Errors,The machine I'm using it at the gym is broken.,The machine that I'm using at the gym is broken.
1865,Relative Clause Errors,The apartment I live in it has a great view.,The apartment where I live has a great view.
1866,Relative Clause Errors,The company the job offer came from is well-known.,The company from which the job offer came is well-known.
1867,Relative Clause Errors,The park I walk my dog is just down the street.,The park where I walk my dog is just down the street.
1868,Relative Clause Errors,The phone I dropped it in water is no longer working.,The phone that I dropped in water is no longer working.
1869,Relative Clause Errors,The beach we went to it last weekend was crowded.,The beach that we went to last weekend was crowded.
1870,Infinitive Errors,He decided to quickly finish his homework.,He decided to finish his homework quickly.
1871,Infinitive Errors,She wants to in the future study computer science.,She wants to study computer science in the future.
1872,Infinitive Errors,I'm going to not eat junk food anymore.,I'm not going to eat junk food anymore.
1873,Infinitive Errors,We need to completely revise our marketing strategy.,We need to revise our marketing strategy completely.
1874,Infinitive Errors,They hope to soon launch a new product.,They hope to launch a new product soon.
1876,Infinitive Errors,She aspires to professionally become a dancer.,She aspires to become a professional dancer.
1877,Infinitive Errors,The architect planned to creatively design the building.,The architect planned to design the building creatively.
1878,Infinitive Errors,They're trying to efficiently manage their time.,They're trying to manage their time efficiently.
1879,Infinitive Errors,He always forgets to carefully proofread his essays.,He always forgets to proofread his essays carefully.
1880,Infinitive Errors,The scientist aimed to accurately record all the data.,The scientist aimed to record all the data accurately.
1881,Infinitive Errors,She wanted to gracefully perform on stage.,She wanted to perform on stage gracefully.
1882,Infinitive Errors,The mechanic advised to regularly check the oil levels.,The mechanic advised to check the oil levels regularly.
1883,Infinitive Errors,The teacher told us to actively participate in class.,The teacher told us to participate actively in class.
1885,Infinitive Errors,The chef tried to perfectly cook the steak.,The chef tried to cook the steak perfectly.
1886,Infinitive Errors,The manager asked to promptly submit our reports.,The manager asked to submit our reports promptly.
1887,Infinitive Errors,He plans to eventually write a book about his travels.,He plans to write a book about his travels eventually.
1888,Infinitive Errors,She wanted to privately speak with her supervisor.,She wanted to speak privately with her supervisor.
1889,Infinitive Errors,The athlete aimed to continuously improve his performance.,The athlete aimed to improve his performance continuously.
1890,Infinitive Errors,The gardener decided to systematically water the plants.,The gardener decided to water the plants systematically.
1892,Infinitive Errors,The tourists wanted to leisurely explore the city.,The tourists wanted to explore the city leisurely.
1893,Infinitive Errors,The director instructed to subtly change the scene.,The director instructed to change the scene subtly.
1894,Infinitive Errors,He promised to immediately call when he arrived.,He promised to call immediately when he arrived.
1895,Infinitive Errors,The author tried to eloquently express her thoughts.,The author tried to express her thoughts eloquently.
1896,Infinitive Errors,She decided to permanently delete her social media accounts.,She decided to delete her social media accounts permanently.
1897,Infinitive Errors,He asked her to slowly explain the process.,He asked her to explain the process slowly.
1898,Infinitive Errors,The driver decided to cautiously navigate the icy road.,The driver decided to navigate the icy road cautiously.
1900,Infinitive Errors,The team wanted to collectively make a decision.,The team wanted to make a decision collectively.
1901,Infinitive Errors,He aimed to dramatically improve his grades.,He aimed to improve his grades dramatically.
1902,Infinitive Errors,The company decided to strategically invest in new ventures.,The company decided to invest strategically in new ventures.
1903,Infinitive Errors,She tried to persuasively argue her point.,She tried to argue her point persuasively.
1904,Infinitive Errors,The artist wanted to uniquely express himself.,The artist wanted to express himself uniquely.
1906,Infinitive Errors,The speaker tried to clearly convey his message.,The speaker tried to convey his message clearly.
1907,Infinitive Errors,She advised to always think positively.,She advised to think always positively.
1908,Infinitive Errors,The hikers decided to gradually climb the mountain.,The hikers decided to climb the mountain gradually.
1910,Infinitive Errors,The students aimed to collaboratively work on the project.,The students aimed to work collaboratively on the project.
1911,Infinitive Errors,She told him to quietly enter the room.,She told him to enter the room quietly.
1912,Infinitive Errors,The photographer wanted to artistically capture the scene.,The photographer wanted to capture the scene artistically.
1913,Infinitive Errors,The coach instructed to aggressively play defense.,The coach instructed to play defense aggressively.
1914,Infinitive Errors,The company needed to rapidly adapt to the market changes.,The company needed to adapt rapidly to the market changes.
1915,Infinitive Errors,He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
1916,Infinitive Errors,The researchers aimed to objectively analyze the data.,The researchers aimed to analyze the data objectively.
1917,Infinitive Errors,She wanted to passionately advocate for her cause.,She wanted to advocate passionately for her cause.
1919,Gerund and Participle Errors,I enjoy to read books.,I enjoy reading books.
1920,Gerund and Participle Errors,She is exciting about the trip.,She is excited about the trip.
1921,Gerund and Participle Errors,He is interested on learning Spanish.,He is interested in learning Spanish.
1922,Gerund and Participle Errors,The children were so bore at the museum.,The children were so bored at the museum.
1923,Gerund and Participle Errors,He is talented for playing the guitar.,He is talented at playing the guitar.
1924,Gerund and Participle Errors,The scientist studied the organism's adapt to their environment.,The scientist studied the organisms' adaptation to their environment.
1925,Gerund and Participle Errors,The project was cancel due to a lack of funding.,The project was canceled due to a lack of funding.
1926,Gerund and Participle Errors,He was annoy by the constant noise.,He was annoyed by the constant noise.
1927,Gerund and Participle Errors,The athlete's success was attributable to his dedicate to his training.,The athlete's success was attributable to his dedication to his training.
1928,Gerund and Participle Errors,It's essential to brush your teeth twice a day for prevent cavities.,It's essential to brush your teeth twice a day to prevent cavities.
1929,Gerund and Participle Errors,I prefer cook at home instead of eating out.,I prefer cooking at home instead of eating out.
1930,Gerund and Participle Errors,He was disappoint with his exam results.,He was disappointed with his exam results.
1932,Gerund and Participle Errors,She is obsessed with collect vintage clothing.,She is obsessed with collecting vintage clothing.
1933,Gerund and Participle Errors,The journalist was criticized for misrepresent the facts.,The journalist was criticized for misrepresenting the facts.
1934,Gerund and Participle Errors,I appreciate your help with organize the event.,I appreciate your help with organizing the event.
1935,Gerund and Participle Errors,The company is committed to reduce its carbon footprint.,The company is committed to reducing its carbon footprint.
1936,Gerund and Participle Errors,The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
1937,Gerund and Participle Errors,I am look forward to meet you in person.,I am looking forward to meeting you in person.
1938,Gerund and Participle Errors,The dog was punished for chew the furniture.,The dog was punished for chewing the furniture.
1939,Gerund and Participle Errors,The politician was accused of corrupt and bribery.,The politician was accused of corruption and bribery.
1940,Gerund and Participle Errors,The girl was embarass to admit she had never seen the movie.,The girl was embarrassed to admit she had never seen the movie.
1941,Gerund and Participle Errors,The boy's parents were concerned about his frequent lying.,The boy's parents were concerned about his frequent lies.
1942,Gerund and Participle Errors,The manager had a reputation for being very demand.,The manager had a reputation for being very demanding.
1943,Gerund and Participle Errors,The team was congratulate on their victory.,The team was congratulated on their victory.
1944,Gerund and Participle Errors,The artist is known for his innovate use of color.,The artist is known for his innovative use of color.
1945,Gerund and Participle Errors,The company's sales have been decline in recent months.,The company's sales have been declining in recent months.
1946,Gerund and Participle Errors,I am sorry for disturb you at this late hour.,I am sorry for disturbing you at this late hour.
1947,Gerund and Participle Errors,She had a difficult time make a decision.,She had a difficult time making a decision.
1948,Gerund and Participle Errors,The students were instructed to proofread their papers for avoid errors.,The students were instructed to proofread their papers to avoid errors.
1949,Gerund and Participle Errors,The broken window was a result of the children's careless play.,The broken window was a result of the children's careless playing.
1950,Gerund and Participle Errors,They are considering to move to a new city for better job opportunities.,They are considering moving to a new city for better job opportunities.
1951,Gerund and Participle Errors,The movie was criticize for its lack of character development.,The movie was criticized for its lack of character development.
1952,Gerund and Participle Errors,The athlete was disqualify for using performance-enhancing drugs.,The athlete was disqualified for using performance-enhancing drugs.
1953,Gerund and Participle Errors,The company's success was due to its invest in new technologies.,The company's success was due to its investment in new technologies.
1954,Gerund and Participle Errors,The parents were worried about their child's safety on the playground.,The parents were worried about their child's safe play on the playground.
1955,Gerund and Participle Errors,The chef's signature dish is made by roast vegetables and herbs.,The chef's signature dish is made by roasting vegetables and herbs.
1956,Gerund and Participle Errors,The students were encourage to ask questions during the lecture.,The students were encouraged to ask questions during the lecture.
1957,Gerund and Participle Errors,The police officer's quick think saved the hostage's life.,The police officer's quick thinking saved the hostage's life.
1958,Gerund and Participle Errors,The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
1959,Gerund and Participle Errors,The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
1960,Gerund and Participle Errors,The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
1961,Gerund and Participle Errors,The doctor advised the patient to quit smoke.,The doctor advised the patient to quit smoking.
1962,Gerund and Participle Errors,The company was fined for pollute the river.,The company was fined for polluting the river.
1963,Gerund and Participle Errors,The engineer's primary responsibility was to design the bridge.,The engineer's primary responsibility was designing the bridge.
1964,Gerund and Participle Errors,I apologize for any inconvenience my mistake may have cause.,I apologize for any inconvenience my mistake may have caused.
1965,Gerund and Participle Errors,The soccer player was injure during the game.,The soccer player was injured during the game.
1966,Gerund and Participle Errors,The politician's speech was focused on promote unity.,The politician's speech was focused on promoting unity.
1967,Gerund and Participle Errors,The architect's bold vision led to the creation of a beautiful building.,The architect's bold vision led to creating a beautiful building.
1968,Gerund and Participle Errors,The company's management was criticized for their lack of communicate with employees.,The company's management was criticized for their lack of communication with employees.
